threshold,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count
0.05,0.5256950859609395,0.9999595690684714,0.6891124801880939,0.9971663952079798,0.0028336047920202168,611615,1738,0.00591123889286779,0.9925201380897584,321523,1725,290092,13
0.1,0.5272801229471226,0.9998227259156051,0.690440267646304,0.9940328000352162,0.005967199964783787,609693,3660,0.01234677897449429,0.9844262295081967,321479,3603,288214,57
0.15000000000000002,0.529695270298132,0.9987715216958599,0.6922552114600926,0.9884601526364101,0.011539847363589928,606275,7078,0.02290133885277417,0.9441932749364227,321141,6683,285134,395
0.2,0.5361041029069397,0.992613579816879,0.6961968436092357,0.9706221376597164,0.02937786234028361,595334,18019,0.05360893984928911,0.8681946833897553,319161,15644,276173,2375
0.25,0.550012655201991,0.9732098427547771,0.7028227726419247,0.9275833003180877,0.07241669968191233,568936,44417,0.12268990497469304,0.806065245288966,312922,35803,256014,8614
0.30000000000000004,0.5679489734151945,0.9396303990843949,0.7079721708647044,0.8672950160837234,0.1327049839162766,531958,81395,0.21240709074522732,0.7615209779470483,302125,61984,229833,19411
0.35000000000000003,0.5939897805327525,0.8821469446656051,0.7099427324242606,0.7785402533288335,0.22145974667116652,477520,135833,0.3356178701035238,0.7210250822701405,283642,97939,193878,37894
0.4,0.6229023978740793,0.8106588375796179,0.7044851957458884,0.6822400803452497,0.31775991965475026,418454,194899,0.45925700010623094,0.6876330817500347,260656,134019,157798,60880
0.45,0.6582363333730991,0.7207280055732485,0.688066175968456,0.5739957251370744,0.4260042748629256,352062,261291,0.5876799501057169,0.656337187273959,231740,171495,120322,89796
0.5,0.693511552467887,0.6289995521496815,0.6596821068494134,0.4754619281229569,0.5245380718770432,291626,321727,0.6937121552205663,0.6292198043682998,202246,202437,89380,119290
0.55,0.7253980350559206,0.547664958200637,0.6241247866792133,0.39578350476805363,0.6042164952319464,242755,370598,0.7715657415435015,0.6075478011214308,176094,225156,66661,145442
0.6000000000000001,0.7553995111202574,0.46806267416401276,0.5779897727774609,0.3248227366622483,0.6751772633377517,199231,414122,0.8330049311726184,0.5869888583557502,150499,243085,48732,171037
0.65,0.7879250204161734,0.38708884852707004,0.5191376832902675,0.2575401114855556,0.7424598885144444,157963,455390,0.8852020272979298,0.5672434616482576,124463,258317,33500,197073
0.7000000000000001,0.8168982868588034,0.30950500099522293,0.4489228819083406,0.19861808778957632,0.8013819122104237,121823,491530,0.9235616842061978,0.5483103777999309,99517,269511,22306,222019
0.75,0.8462617714074058,0.23448696257961785,0.36722199357570945,0.14525566843237092,0.8547443315676291,89093,524260,0.9530630497880521,0.5305001335215351,75396,278120,13697,246140
0.8,0.8768500277819872,0.1619632016321656,0.27342246677184867,0.09683004729739644,0.9031699527026036,59391,553962,0.9749363470942406,0.5135785487091172,52077,284503,7314,269459
0.8500000000000001,0.9071093534443117,0.09202391023089172,0.16709632787903603,0.05318144689925704,0.9468185531007429,32619,580734,0.9896167803794844,0.49727930515520014,29589,288787,3030,291947
0.9,0.9391714259813253,0.0322203423566879,0.0623032351375813,0.017984749402057215,0.9820152505979428,11031,602322,0.9977006137408033,0.48337268105764025,10360,291146,671,311176
0.9500000000000001,0.9688057040998217,0.0033806478901273885,0.006737784279329816,0.001829289169532064,0.9981707108304679,1122,612231,0.999880061819565,0.47658808521620105,1087,291782,35,320449
