rows,positives,positive_rate,score_mean,pr_auc,roc_auc,brier,threshold,row_count,positive_count,prevalence,brier_score,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count,model_name,split
1424833,731576,0.5134468390330656,0.5066021268138746,0.716282447210113,0.703228870158159,0.21900225083232303,0.45,1424833,731576,0.5134468390330656,0.21900225083232303,0.6297525289232566,0.7224744934224195,0.6729345469314378,0.5890444704747855,0.4109555295252145,839290,585543,0.5517607467360589,0.653260307099564,528545,382512,310745,203031,logistic_regression,test
2468327,1254661,0.5083042076677847,0.5010253522256131,0.7162362669916168,0.7060721559448345,0.21812070352559906,0.45,2468327,1254661,0.5083042076677847,0.21812070352559906,0.6302025080494832,0.7113618738448075,0.668327279820555,0.5737651453798464,0.42623485462015365,1416240,1052087,0.5684793015541343,0.6557860709237924,892518,689944,523722,362143,logistic_regression,train
613353,321536,0.5242266688187716,0.5049172928491462,0.7222840209850088,0.6992005135990474,0.2200168220742389,0.45,613353,321536,0.5242266688187716,0.2200168220742389,0.6381268725849392,0.7133975666799363,0.6736661874687041,0.586062186049469,0.413937813950531,359463,253890,0.5542411854004393,0.6370357241324983,229383,161737,130080,92153,logistic_regression,validation
