model_name,validation_pr_auc,validation_roc_auc,validation_f1,test_pr_auc,test_roc_auc,test_f1,selected_threshold
lightgbm,0.7444431638183772,0.7226777719235065,0.6596821068494134,0.7360110082778407,0.7222955031790317,0.661891269362799,0.5
logistic_regression,0.7222840209850088,0.6992005135990474,0.6736661874687041,0.716282447210113,0.703228870158159,0.6729345469314378,0.45
