vip_level,high_score_share,low_score_share
V3,0.5202094284932237,0.28507962353403565
V4,0.2986356267063439,0.04054518784697122
V2,0.09106349529417544,0.09017567007993936
V1,0.04841279310514237,0.5777004976032228
V5,0.03570601405079904,0.0037057052420288736
V6,0.003891692342244338,0.0013615659412000028
V7,0.0010597755521711363,0.0005018142515247433
V8,0.0010211744559000021,0.0004983050609546402
UNKNOWN,0.0,0.0004316304401226813
